Date,Name,Team,Opponent,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+-,GameLink,Home
20211019,joe harris,Brooklyn Nets,Milwaukee Bucks,30:46,3,9,.333,3,5,.600,0,0,0,0,2,2,2,0,0,2,1,9,3.5,0,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,james harden,Brooklyn Nets,Milwaukee Bucks,30:38,6,16,.375,4,8,.500,4,4,1.000,3,5,8,8,1,2,4,3,20,17.6,-20,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,kevin durant,Brooklyn Nets,Milwaukee Bucks,30:15,13,25,.520,3,7,.429,3,6,.500,0,11,11,4,0,2,1,2,32,24.2,-20,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,nic claxton,Brooklyn Nets,Milwaukee Bucks,24:10,6,9,.667,0,0,0,0,3,.000,0,7,7,0,0,0,0,3,12,7.8,-15,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,blake griffin,Brooklyn Nets,Milwaukee Bucks,22:59,2,5,.400,0,1,.000,2,2,1.000,1,4,5,0,1,0,1,1,6,4.8,-6,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,patty mills,Brooklyn Nets,Milwaukee Bucks,29:22,7,11,.636,7,7,1.000,0,0,0,0,2,2,2,1,1,0,1,21,19.4,+7,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,james johnson,Brooklyn Nets,Milwaukee Bucks,20:43,0,2,.000,0,1,.000,1,2,.500,0,0,0,2,0,1,0,3,1,0.1,-6,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,jevon carter,Brooklyn Nets,Milwaukee Bucks,18:57,0,3,.000,0,2,.000,0,0,0,0,2,2,0,0,0,1,1,0,-2.9,-29,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,lamarcus aldridge,Brooklyn Nets,Milwaukee Bucks,15:42,0,2,.000,0,0,0,1,4,.250,0,3,3,1,0,1,1,2,1,-1.1,+2,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,paul millsap,Brooklyn Nets,Milwaukee Bucks,5:13,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,1.0,-1,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,cam thomas,Brooklyn Nets,Milwaukee Bucks,3:45,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,2,-0.4,-9,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,deandre' bembry,Brooklyn Nets,Milwaukee Bucks,3:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-9,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,bruce brown,Brooklyn Nets,Milwaukee Bucks,3:45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1.0,-9,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,david duke jr.,Brooklyn Nets,Milwaukee Bucks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
20211019,kessler edwards,Brooklyn Nets,Milwaukee Bucks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,https://www.basketball-reference.com/boxscores/202110190MIL.html,0
